ID,Aquisição de kriol,Idade,Língua materna,variante do kriol,grau de escolaridade,local de proveniência,código para a tabela de inovações
1,L1,18,Kriol,lebi,secundário,Região de Tombali,l1_18_kr_lebi_sec_tom
2,L1,22,Kriol,lebi,secundário,Bissau,l1_22_kr_lebi_sec_bs
3,L1,20,Kriol,lebi,secundário,Bissau,l1_20_kr_lebi_sec_bs
4,L2,18,Fula,lebi,secundário,Cansonco (Xitóle),l2_18_fula_lebi_sec_can
5,L1,19,Sussu / Kriol,lebi,secundário,Cassacá,l1_19_sussu/kr_lebi_sec_cas
6,L1,19,Fula / Kriol,lebi,secundário,Bissau,l1_19_fula/kr_lebi_sec_bs
7,L1,21,Kriol,lebi,secundário,Bissau,l1_21_kr_lebi_sec_bs
8,L1,20,Kriol,lebi,secundário,Bissau,l1_19_kr_lebi_sec_bs
9,L1,20,Kriol,lebi,secundário,Bissau,l1_20_kr_lebi_sec_bs
10,L1,21,Kriol,lebi,secundário,Catió,l1_21_kr_lebi_sec_cat
11,L2,30,Budjugu,lebi,universitário,Bissau,l2_30_bud_lebi_uni_bs
12,L2,29,Balanta,lebi,universitário,Ingoré,l2_29_bal_lebi_uni_in
13,L2,27,Biafada,lebi,universitário,Brandão (Tite),l2_27_bia_lebi_uni_br
14,L2,28,Mansoanka,lebi,universitário,Região de Cacheu,l2_28_man_lebi_uni_cac
15,L2,29,Fulup,lebi,universitário,São Domingos,l2_29_ful_lebi_univ_sd
16,L2,26,Mandjaku / Kriol,lebi,universitário,Djeta,l2_26_mandj/kr_lebi_uni_dj
17,L2,26,Fula / Kriol,lebi,universitário,Bissau,l2_26_fula/kr_lebi_uni_bs
18, L1,25,Kriol,lebi,universitário,Djeta,l1_25_kr_lebi_uni_dj
19,L2,22,Mandjaku / Kriol,lebi,universitário,Cacnhungo,l2_22_mandj_lebi_uni_caxgo
20,L2,27,Balanta,lebi,universitário,Kabuxanki (Bedanda),l2_27_bal_lebi_uni_ka
21,L2,63,Fula,fundu,não escolarizado ,Gabú,l2_63_fula_fundu_ne_ga
22,L2,(+ 80),Mandinga,fundu,não escolarizado,Nema (Bafatá),l2_+80_mand_fundu_ne_ga
23,L1,56,Balanta / Pepel / Kriol ,fundu,básico,Djaal ,l1_56_bal/pep/kr_fundu_bas_dj
24,L2,NA,Pepel,fundu,não escolarizado ,Safim,l2_nss_pep_fundu_ne_saf
25,L3,58,mandinga,fundu,básico,Djaima (Gabú),l3_58_mand_fundu_bas_dja
26,L2,61,Fulup,fundu,báscio,Bulol (Suzana),l2_61_ful_fundu_bas_bul
27,L2,58,Mankanh,fundu,básico,Safim,l2_58_mank_fundu_bas_saf
28,L2,58,Balanta,fundu,básico,Incheia,l2_58_bal_fundu_bas_inc